X,Y
522,487
521,488
520,488
517,491
514,491
513,492
510,492
507,495
506,495
505,496
501,496
500,497
498,497
497,498
496,498
495,499
494,499
493,500
492,500
491,501
490,501
489,502
488,502
487,503
486,503
486,504
485,505
484,505
481,508
480,508
479,509
468,509
468,515
464,519
462,519
460,521
458,521
457,522
456,522
452,526
451,526
448,529
447,529
446,530
438,530
438,532
437,533
437,538
436,539
435,539
432,542
431,542
429,544
428,544
426,546
426,547
425,548
425,549
424,550
422,550
421,551
420,551
420,553
419,554
419,556
418,557
418,558
417,559
417,560
415,562
415,563
414,564
414,565
413,566
412,566
411,567
411,568
410,569
410,571
408,573
408,574
405,577
405,580
404,581
404,582
402,584
402,585
397,590
394,590
394,600
392,602
392,603
390,605
390,606
389,607
389,614
388,615
388,631
389,632
389,649
388,650
388,654
387,655
387,663
386,664
386,670
385,671
385,684
386,685
386,695
387,696
387,705
388,706
388,710
389,711
389,714
390,715
390,720
391,721
391,726
392,727
392,735
393,736
393,741
394,742
394,746
395,747
395,752
396,753
396,754
397,755
397,759
396,760
396,764
397,764
398,765
398,768
399,769
399,773
400,774
400,777
401,778
401,779
402,780
402,783
403,784
403,788
404,789
404,791
405,792
405,793
406,794
406,796
407,797
407,800
409,802
409,803
410,804
410,805
411,806
411,807
413,809
413,812
417,816
417,817
418,818
418,819
419,820
419,821
420,822
420,823
424,827
424,828
425,829
425,831
426,832
426,833
427,834
427,835
428,836
428,838
430,840
430,850
431,851
431,866
438,866
439,867
439,871
440,872
440,873
441,874
441,876
442,877
442,878
443,879
443,884
444,885
444,890
445,891
446,891
447,892
447,898
448,899
448,903
449,904
449,908
451,910
451,911
452,912
452,913
454,915
454,918
455,919
455,920
457,922
457,923
459,925
459,927
460,928
460,936
466,936
469,939
469,940
470,941
471,941
476,946
476,949
477,950
477,951
479,953
479,954
480,955
480,957
481,958
481,963
482,964
482,966
483,967
483,971
484,972
484,975
485,976
485,982
486,983
486,987
487,988
487,990
488,991
488,997
489,998
489,1000
490,1001
490,1009
491,1010
491,1018
490,1019
490,1024
491,1025
491,1028
492,1029
492,1048
493,1049
493,1061
494,1062
494,1084
493,1085
493,1095
492,1096
492,1105
491,1106
490,1106
490,1110
491,1111
491,1119
490,1120
490,1124
489,1125
489,1132
488,1133
488,1139
487,1140
487,1142
486,1143
486,1146
485,1147
485,1149
484,1150
484,1154
483,1155
483,1162
482,1163
482,1166
481,1167
481,1193
480,1194
479,1194
479,1198
480,1198
481,1199
481,1208
482,1209
482,1210
483,1211
483,1212
484,1213
484,1216
486,1218
486,1219
487,1220
487,1221
488,1222
488,1225
489,1226
489,1229
490,1230
490,1232
493,1235
493,1236
494,1237
495,1237
497,1239
498,1239
499,1240
500,1240
501,1241
504,1241
505,1242
506,1242
508,1244
508,1245
518,1245
519,1246
529,1246
530,1245
534,1245
535,1244
538,1244
539,1243
541,1243
542,1242
543,1242
544,1241
545,1241
546,1240
547,1240
553,1234
558,1234
559,1235
560,1235
561,1236
562,1236
563,1237
565,1237
566,1238
568,1238
569,1239
580,1239
581,1240
583,1240
584,1241
585,1241
587,1243
597,1243
598,1242
604,1242
605,1241
608,1241
610,1239
611,1239
616,1234
616,1232
617,1231
617,1229
618,1228
618,1227
619,1226
619,1222
620,1221
620,1193
619,1192
619,1172
618,1171
618,1166
617,1165
617,1162
616,1161
616,1158
615,1157
615,1155
614,1154
614,1152
613,1151
613,1148
612,1147
612,1145
611,1144
611,1143
610,1142
610,1141
609,1140
609,1138
608,1137
608,1134
607,1133
607,1131
606,1130
606,1127
605,1126
605,1123
604,1122
604,1116
603,1115
603,1109
602,1108
601,1108
600,1107
600,1106
599,1105
599,1104
598,1103
598,1100
597,1099
597,1068
598,1067
598,1061
599,1060
599,1004
600,1003
600,991
601,990
601,984
602,983
602,977
603,976
603,972
604,971
604,965
605,964
605,942
606,941
606,940
610,936
611,936
611,931
613,929
613,928
617,924
617,923
620,920
620,919
622,917
622,916
623,915
623,914
625,912
625,911
626,910
626,909
627,908
627,906
628,905
628,903
629,902
629,900
630,899
630,894
631,893
631,891
632,890
632,876
631,875
631,872
630,871
630,866
631,865
631,863
632,862
632,860
636,856
636,854
638,852
638,851
641,848
641,846
643,844
643,843
644,842
644,840
645,839
645,838
646,837
646,835
648,833
648,832
649,831
649,830
650,829
650,828
651,827
651,826
652,825
652,823
653,822
653,821
654,820
654,819
655,818
655,817
657,815
657,813
658,812
658,811
660,809
660,808
661,807
661,806
663,804
663,803
664,802
664,801
665,800
665,799
666,798
666,796
668,794
668,792
670,790
670,784
672,782
672,778
673,777
673,775
676,772
676,768
678,766
678,765
679,764
679,763
682,760
682,757
684,755
684,752
685,751
685,750
686,749
686,748
687,747
687,733
682,733
681,732
681,728
682,727
682,725
685,722
685,721
686,720
686,710
687,709
687,701
688,700
688,694
687,693
687,692
686,691
686,685
685,685
683,683
683,676
684,675
684,669
683,668
683,664
680,661
680,657
679,656
678,656
677,655
677,653
676,652
676,642
675,641
675,633
674,633
673,632
673,628
674,627
674,623
671,620
671,616
672,615
673,615
673,606
672,605
672,603
671,602
671,594
672,593
674,593
674,590
675,589
675,586
676,585
677,585
677,584
678,583
678,579
675,579
673,577
673,576
672,575
672,573
671,572
671,571
669,569
668,569
667,568
667,561
666,560
665,560
664,559
664,556
662,556
661,555
661,551
659,551
658,550
658,548
657,547
657,546
656,545
656,543
655,542
655,541
653,539
653,537
647,537
646,536
645,536
644,535
643,535
640,532
639,532
637,530
635,530
634,529
634,527
631,524
631,523
630,522
628,522
627,521
627,520
626,519
626,518
625,517
624,517
623,516
620,516
619,515
619,512
617,510
612,510
610,508
602,508
602,510
601,511
597,511
595,509
594,509
593,508
593,501
591,501
589,499
582,499
581,498
581,495
572,495
571,494
565,494
563,496
559,496
558,495
551,495
550,494
550,490
532,490
529,487
