X,Y
594,1183
594,1186
593,1187
593,1191
596,1194
596,1201
595,1202
595,1203
594,1204
592,1204
592,1211
595,1211
595,1205
596,1204
598,1204
598,1190
597,1189
597,1188
596,1187
596,1183
597,1171
597,1173
599,1173
599,1171
509,1158
508,1159
508,1163
511,1163
511,1158
593,1146
593,1149
595,1149
595,1146
507,1139
507,1143
506,1144
506,1148
507,1148
508,1149
512,1149
512,1147
511,1146
511,1144
510,1143
510,1142
509,1141
509,1139
588,1124
588,1126
590,1126
590,1124
580,1103
580,1106
582,1106
582,1103
579,1067
579,1071
581,1071
581,1067
580,1045
580,1047
582,1047
582,1045
518,1033
518,1043
517,1044
517,1046
518,1047
518,1058
520,1058
520,1033
580,1030
580,1032
582,1032
582,1030
518,1021
518,1025
520,1025
520,1021
518,1012
518,1015
520,1015
520,1012
558,998
558,1003
559,1004
559,1006
558,1007
558,1009
557,1010
557,1029
556,1030
556,1048
555,1049
555,1066
558,1066
558,1064
559,1063
559,1062
560,1061
561,1061
561,1058
560,1057
560,1055
561,1054
561,1047
562,1046
562,1040
561,1040
560,1039
560,1032
561,1031
561,1024
562,1023
562,1008
561,1007
561,1004
562,1003
562,998
559,989
559,992
563,992
563,989
517,982
517,984
519,984
519,982
515,972
515,975
517,975
517,972
559,968
559,971
562,971
562,969
561,968
560,950
560,952
563,952
563,950
575,909
575,911
574,912
572,912
572,917
573,917
574,918
576,918
576,912
577,911
577,909
569,880
569,882
572,882
572,880
606,865
605,866
601,866
600,867
600,868
599,869
596,869
595,868
593,868
593,872
594,872
595,873
595,875
594,876
589,876
589,877
588,878
586,878
586,879
585,880
582,880
581,879
579,879
578,878
578,877
576,877
576,880
575,881
574,881
574,888
575,889
578,889
579,890
579,891
580,892
580,894
579,895
577,895
576,894
574,894
573,895
571,895
571,897
573,897
574,898
576,898
577,899
577,904
580,904
581,905
581,917
580,918
578,918
578,920
579,921
579,925
581,925
582,926
582,928
581,929
580,929
579,930
579,933
578,934
577,934
577,943
578,944
578,947
579,948
579,950
578,951
578,953
577,954
577,955
576,956
576,957
575,958
573,958
573,974
571,976
571,979
570,980
570,982
571,983
571,986
570,987
570,989
573,989
574,990
574,995
573,996
571,996
571,1008
569,1010
569,1012
570,1013
570,1018
569,1019
569,1027
570,1028
570,1037
569,1038
569,1040
570,1041
570,1044
569,1045
569,1081
567,1083
564,1083
562,1081
562,1073
561,1072
561,1070
555,1070
555,1083
556,1084
556,1093
555,1094
555,1095
554,1096
554,1107
555,1108
555,1115
554,1116
553,1116
553,1117
552,1118
551,1118
551,1124
552,1125
552,1127
553,1128
553,1131
551,1133
551,1147
552,1148
552,1153
557,1153
558,1154
558,1155
559,1156
559,1158
558,1159
558,1161
557,1162
553,1162
553,1173
552,1174
552,1179
553,1180
553,1182
552,1183
552,1185
558,1185
558,1183
559,1182
559,1177
557,1177
556,1176
556,1173
557,1172
558,1172
558,1167
557,1166
557,1164
558,1163
560,1163
561,1164
561,1167
562,1168
562,1169
563,1170
563,1173
562,1174
561,1174
561,1176
562,1176
563,1177
563,1180
565,1180
566,1181
566,1189
564,1191
563,1191
563,1193
562,1194
557,1194
556,1195
551,1195
551,1204
553,1204
554,1203
556,1203
557,1204
557,1211
556,1212
555,1212
555,1214
554,1215
550,1215
550,1216
549,1217
549,1223
548,1224
548,1226
547,1227
547,1229
549,1229
550,1228
552,1228
554,1226
554,1225
555,1224
556,1224
557,1223
558,1223
558,1222
559,1221
559,1215
560,1214
560,1213
561,1212
566,1212
567,1211
567,1206
569,1204
571,1204
572,1205
572,1208
571,1209
571,1213
570,1214
570,1216
572,1216
573,1217
573,1218
574,1219
574,1222
576,1224
576,1225
577,1226
577,1232
580,1235
582,1235
583,1236
588,1236
588,1233
589,1232
589,1231
590,1230
590,1227
592,1225
595,1225
595,1223
594,1222
594,1221
592,1221
592,1222
591,1223
581,1223
580,1222
580,1221
578,1221
577,1220
577,1217
576,1217
575,1216
575,1214
576,1213
576,1211
575,1210
575,1209
574,1208
574,1199
575,1198
575,1194
576,1193
576,1192
577,1191
577,1189
576,1188
576,1187
575,1186
575,1184
576,1183
576,1179
577,1178
577,1168
576,1168
575,1167
575,1165
576,1164
576,1159
575,1158
575,1152
576,1151
578,1151
578,1148
579,1147
581,1147
582,1148
582,1153
583,1154
584,1154
585,1155
585,1158
586,1159
586,1163
587,1164
587,1167
588,1168
588,1174
592,1174
592,1171
591,1170
591,1168
590,1167
590,1165
591,1164
594,1164
595,1165
595,1167
597,1167
598,1166
600,1166
600,1164
599,1163
599,1160
598,1160
597,1159
593,1159
591,1157
591,1154
589,1154
588,1153
588,1150
587,1149
587,1142
586,1141
586,1139
585,1138
585,1136
586,1135
588,1135
590,1137
590,1139
591,1140
591,1143
593,1143
593,1137
592,1136
592,1132
591,1132
590,1131
590,1130
585,1130
585,1131
582,1134
580,1134
579,1133
576,1133
574,1131
573,1131
572,1130
570,1130
570,1131
569,1132
565,1132
563,1130
558,1130
557,1129
557,1128
555,1126
555,1117
556,1116
559,1116
560,1117
560,1118
562,1118
562,1114
561,1113
561,1106
562,1105
562,1103
563,1102
566,1102
567,1103
567,1107
568,1108
568,1110
567,1111
567,1113
568,1113
570,1115
570,1117
568,1119
567,1119
567,1124
568,1125
568,1126
579,1126
579,1123
578,1122
578,1117
577,1116
577,1115
576,1114
576,1108
575,1107
575,1104
574,1103
574,1095
575,1094
577,1094
578,1093
578,1091
575,1091
574,1090
574,1082
575,1081
575,1078
573,1076
573,1073
574,1072
575,1072
575,1064
576,1063
576,1060
575,1059
575,1046
576,1045
576,1044
577,1043
577,1040
576,1040
575,1039
575,1037
576,1036
576,1032
577,1031
578,1031
578,1024
579,1023
579,1013
575,1013
574,1012
574,1008
575,1007
577,1007
578,1008
578,1009
581,1009
582,1008
582,1000
578,1000
578,1003
577,1004
575,1004
574,1003
574,996
575,995
576,995
576,993
577,992
577,988
579,986
580,986
580,984
579,984
578,983
578,980
579,979
579,978
580,977
583,977
583,975
581,975
580,974
580,973
579,972
579,970
580,969
580,962
581,961
581,957
582,956
582,950
583,949
583,946
584,945
584,941
585,940
588,940
589,941
589,944
588,945
588,953
590,953
590,949
591,948
591,943
592,942
592,939
591,938
591,933
590,932
590,926
589,926
588,925
588,922
587,922
586,921
586,913
587,912
589,912
590,913
590,914
594,914
594,913
595,912
596,912
596,906
591,906
589,904
589,901
588,901
587,900
584,900
583,899
583,891
581,889
581,884
582,883
585,883
586,882
588,882
589,883
589,884
591,884
592,883
593,883
594,882
594,880
596,878
598,878
599,879
599,883
600,884
600,886
599,887
598,887
597,888
596,888
596,890
594,892
592,892
591,891
589,891
589,894
590,895
590,896
593,896
594,897
594,901
596,901
596,900
597,899
598,899
599,898
599,895
600,894
600,890
601,889
601,887
602,886
604,886
605,885
606,885
607,884
607,882
606,881
606,879
607,878
607,875
606,874
606,871
607,870
608,870
608,865
584,864
584,867
585,868
587,868
587,864
569,864
569,865
568,866
568,868
571,868
572,869
572,873
581,873
582,874
589,874
589,872
587,872
586,871
576,871
575,870
575,868
576,867
578,867
578,865
576,865
575,864
568,855
568,857
572,857
572,855
566,848
566,851
569,851
569,848
587,846
587,850
589,850
589,846
563,841
563,846
565,846
565,841
578,837
578,838
577,839
576,839
575,840
575,844
577,844
578,845
578,847
577,848
577,850
578,851
578,852
580,852
580,851
581,850
581,845
578,845
577,844
577,842
578,841
581,841
581,837
572,831
572,833
573,834
573,835
577,835
577,833
575,833
574,832
574,831
585,829
585,835
588,835
588,833
587,832
587,829
609,817
609,820
608,821
607,821
607,822
606,823
603,823
602,824
602,825
601,826
597,826
596,827
594,827
594,837
595,837
596,838
596,840
598,842
598,844
600,846
600,849
603,849
605,851
605,856
606,857
606,860
609,860
609,859
610,858
610,856
609,855
609,844
610,843
610,835
608,835
608,836
607,837
605,837
604,836
604,834
605,833
609,833
609,830
608,829
608,827
609,826
609,824
610,823
610,822
611,821
611,817
565,810
565,812
567,812
567,810
568,803
568,805
570,805
570,803
567,795
567,798
570,798
570,795
552,778
552,783
558,783
559,784
559,786
561,786
561,781
560,780
560,779
555,779
554,778
572,776
572,782
574,782
574,776
557,773
557,775
559,775
559,773
606,768
606,770
608,770
608,768
600,768
600,771
604,771
604,769
603,769
602,768
563,766
563,768
565,768
565,766
555,759
555,762
557,762
557,759
574,754
574,758
576,758
576,754
557,752
557,756
559,756
559,755
560,754
560,752
553,747
553,749
555,749
555,747
584,737
584,741
586,741
586,737
553,732
553,734
555,734
555,732
553,726
553,728
555,728
555,726
579,714
577,716
573,716
573,722
572,723
572,728
571,729
571,730
570,731
570,732
569,733
569,735
572,735
573,736
573,742
572,743
572,746
571,747
571,751
575,751
575,750
577,748
577,746
578,745
578,738
577,737
577,720
578,719
579,719
579,718
580,717
583,717
583,714
555,702
555,704
557,704
557,702
568,699
568,705
570,705
570,699
575,695
575,700
576,701
576,703
575,704
575,706
578,706
578,699
579,698
579,695
582,685
582,687
583,688
583,692
584,693
584,699
586,699
586,692
585,691
585,687
584,686
584,685
556,680
556,683
558,683
558,680
592,678
591,679
591,684
596,684
596,678
563,672
563,674
567,674
568,675
568,677
569,677
570,678
570,682
571,683
571,685
570,686
569,686
568,687
568,690
571,690
571,688
572,687
574,687
574,680
575,679
575,677
574,676
574,675
568,675
567,674
567,672
572,667
572,671
574,671
574,667
557,656
557,658
559,658
559,656
585,648
585,657
584,658
584,663
583,664
582,664
582,676
581,677
579,677
579,681
582,681
583,682
585,682
585,666
586,665
586,662
588,660
588,658
587,657
587,654
588,653
588,648
570,648
570,649
569,650
569,658
568,659
567,659
567,662
572,662
572,658
571,657
571,654
572,653
576,653
576,651
575,650
574,650
573,649
573,648
597,645
597,647
599,647
599,645
556,639
556,648
557,649
557,651
559,651
559,646
558,645
558,639
570,616
570,618
572,618
572,616
559,573
559,575
561,575
561,573
559,544
556,547
556,553
557,554
557,555
558,556
558,565
559,566
559,568
565,568
566,569
566,577
568,577
568,573
570,571
570,567
569,567
568,566
568,562
569,561
571,561
571,559
566,559
565,558
565,554
562,554
561,553
561,544
591,520
591,527
590,528
588,528
587,527
584,527
584,528
583,529
576,529
575,528
575,526
565,526
565,529
564,530
564,544
565,544
566,545
566,546
568,548
568,555
569,555
570,556
577,556
578,555
581,555
582,556
592,556
592,554
593,553
594,553
594,552
595,551
596,551
597,550
599,550
601,552
601,556
602,557
602,558
603,559
603,563
604,564
604,567
603,568
602,568
602,574
601,575
601,578
602,579
602,587
603,587
604,588
604,590
603,591
603,601
601,603
598,603
598,606
599,607
599,609
598,610
596,610
594,608
594,601
593,600
593,596
592,595
592,593
590,593
590,594
589,595
585,595
584,594
578,594
578,597
577,598
577,600
576,601
573,601
572,600
572,598
571,598
570,597
568,597
567,596
559,596
559,598
558,599
557,599
557,603
556,604
556,606
557,607
557,608
558,609
558,611
559,612
559,616
560,616
561,617
561,618
562,619
562,621
564,621
564,615
565,614
565,607
566,606
569,606
569,602
570,601
572,601
573,602
573,609
572,610
572,614
574,614
574,613
576,611
576,607
577,606
579,606
579,604
578,604
577,603
577,601
578,600
581,600
582,599
589,599
590,600
590,605
589,606
589,608
590,608
591,609
591,612
590,613
589,613
589,615
590,615
591,616
591,620
590,621
590,625
589,626
589,629
588,630
588,638
587,639
587,645
593,645
593,642
592,642
591,641
591,638
592,637
594,637
594,635
593,635
592,634
592,623
593,622
593,618
595,616
597,616
598,617
598,619
597,620
597,629
599,629
600,630
600,631
601,631
602,632
602,634
601,635
600,635
600,640
602,640
603,641
603,645
602,646
602,650
603,651
606,651
607,652
607,655
606,656
601,656
601,659
599,661
597,661
596,660
596,654
593,654
593,660
592,661
591,661
591,668
592,669
592,672
591,673
591,675
593,675
595,673
595,668
596,667
596,664
597,663
602,663
602,661
603,660
605,660
606,661
606,677
610,677
611,678
611,683
612,683
613,684
613,686
612,687
611,687
611,690
613,690
614,691
614,695
613,696
613,703
616,703
617,704
617,706
616,707
613,707
613,708
612,709
612,711
613,712
613,714
612,715
610,715
609,714
609,712
607,710
607,705
609,703
609,696
608,695
608,689
607,688
607,686
608,685
609,685
609,683
608,683
606,681
606,679
603,679
602,678
602,675
600,675
600,678
601,678
602,679
602,686
600,688
600,690
605,690
606,691
606,693
605,694
604,694
603,695
602,695
601,696
599,696
598,695
598,689
597,689
596,688
594,688
594,690
595,691
595,694
594,695
593,695
593,700
596,700
597,701
597,702
598,703
598,710
602,710
603,711
604,711
605,712
605,715
604,716
604,718
605,719
607,719
608,720
608,722
607,723
607,728
608,729
608,737
609,738
609,743
610,744
610,748
611,749
611,751
610,752
610,755
611,755
612,756
612,768
611,769
611,777
610,778
610,781
609,782
607,782
606,781
604,781
601,784
601,788
599,790
597,790
597,794
596,795
594,795
593,794
589,794
588,793
588,791
589,790
590,790
590,785
591,784
591,779
592,778
592,776
591,775
591,774
586,774
585,775
583,775
583,776
582,777
582,780
581,781
580,781
580,786
581,787
581,796
582,797
582,798
583,798
584,799
584,805
585,806
585,809
584,810
583,810
583,813
584,814
584,819
586,819
586,815
587,814
587,813
588,812
590,812
590,811
591,810
592,810
593,809
593,807
592,806
592,804
593,803
595,803
596,804
596,807
597,807
598,808
601,808
602,807
603,807
604,806
606,806
607,807
607,812
608,813
613,813
614,812
615,812
615,806
616,805
617,805
617,802
618,801
618,797
619,796
619,792
620,791
620,788
621,787
621,786
622,785
622,774
623,773
623,766
620,766
619,765
619,759
618,758
618,754
619,753
622,753
622,751
621,750
621,748
622,747
622,733
621,732
621,728
618,728
617,727
617,725
618,724
621,724
621,719
618,716
618,714
617,713
617,711
618,710
618,709
619,708
619,702
617,700
617,691
618,690
619,690
620,689
620,687
619,686
618,686
617,685
617,683
618,682
622,682
623,681
623,677
621,677
620,676
620,672
619,672
618,671
618,668
619,667
623,667
623,665
619,665
618,664
618,663
617,663
616,662
616,661
613,658
613,656
614,655
614,651
615,650
615,645
616,644
616,639
615,638
615,634
616,633
616,625
615,624
615,623
612,623
611,622
611,620
612,619
612,614
613,613
613,609
615,607
617,607
617,603
609,603
608,602
608,596
609,595
611,595
612,596
612,599
617,599
617,596
618,595
619,595
620,594
620,590
619,589
619,587
620,586
620,581
619,580
619,578
618,577
618,572
617,572
616,571
616,569
617,568
617,566
618,565
618,563
617,562
617,559
616,558
616,556
617,555
617,550
613,550
612,551
612,556
611,557
611,559
610,560
606,560
605,559
605,557
606,556
606,549
609,546
609,544
603,544
602,545
600,545
599,544
599,543
598,542
598,540
599,539
599,521
595,521
594,520
